Continuité monotone,"- (An) croissante : P(U(n = 0, +infini)(An)) = lim(P(An))
- (An) décroissante : P(inter(n = 0, + infini)(An)) = lim(P(An))
- (An) P(U(n = 0, +infini)(An)) = lim(P(U(k = 0, n)(Ak)))
- (An) P(inter(n = 0, +infini)(An)) = lim(P(inter(k = 0, n)(Ak)))"
Definition tribu ou sigma-algèbre sur Omega,"T sous ensemble de P(Omega) tq:
- Omega in T
- pt A in T, A bar in T
- pt (An) in T^N, Union(n in N)(An) in T"
"Définition ensemble dénombrable, au plus dénombrable","- Denombrable : en bijection avec N
- Au plus denombrable : en bijection avec une partie de N"
Définition espace probabilisable et probabilisé ,"- Probabilisable : Couple (Ometa, T) ou Omega est un ensemble non vide (univers) et T une tribu de Omega (qui contient les événements)
- Probabilisé : (Omega, T, P) ou P est une probabilité sur (Omega, T)"
Définition système quasi complet d’événement,"Pou (Omega, T, P), ((Ai)i in I) in T au plus dénombrable tq
- deux a deux incompatibles
- P(Union(i in I)(Ai)) = 1"
Définition variable aléatoire discrète,"Soit (Omega, T) un espace probabilisable : 
X in F(Omega, E) tq X(Omega) est au plus denombrable et : pt x in X(Omega) X^{-1}({x}) in A"
Définition variable aléatoire presque surement constante,Il existe a tq P(X = a) = 1
Espérance d’une variable aléatoire dans NU{infini},E(X) = sum(n in N)(P(X > n)
Espérance et variance pour X ~ G(p),"E(X) = 1/p
V(X) =  (1-p) / p^2"
Espérance et variance pour X ~ P(lambda),E(X) = V(X) = Lambda
Fonction génératrice de X,GX : t |—> E(t^X) = sum(P(X = n) • t^n)
Interpretation de la loi de poisson,"(Xn)n in N* tq Xn ~ B(n, pn) tq (npn) CV vers lambda > 0 : pt k in N
lim(P(Xn = k)) = (lambda^k/k!) • e^{-lambda}"
Inégalité de Boole sous additivité ,(Ai)i in I au plus denombrable : P(U(i in I)(Ai)) =< sum(i in I)(P(Ai))
Loi de poisson,"lambda > 0 X ~ P(lambda) ssi
- X(Omega) = N
- pt k in N P(X = k) = (lambda^k/k!) • e^{-lambda}"
Loi faible des grands nombres,"(Xn) i.i.d. Da variance finie m = E(X1) Sn = sum(k = 1, n)(Xk) pt e > 0:
Lim(P(|Sn/n - m| >= e)) = 0"
Loi géométrique,"p in ]0, 1[ X ~ G(p) ssi 
- X(Omega) = N*
- pt k in N* P(X = k) = p • (1-p)^{k-1}
Dans ce cas : P(X>k) = (1-p)^k
"
Produit de deux familles finies,"sum((i, j) in IxJ)(xi • yj) = sum(i in I)(xi) • sum(j in J)(yj)"
Propriété de GX,"- pt n in N P(X = n) = G^(n)X(0)/n!
- E(X) = G’X(1)
- V(X) = G’’X(1) + G’X(1) - G’^2X(1)
- Sn = sum(Xk), GSn = prod(GXk)
"
Théorème de Fubini,"I, J denombrables, (xij) une familles de nb complexes.
Si les (xij) sont des réel positifs ou si la famille est sommable :
Sum(i in I)(sum(j in J)(xij)) = sum((i,j) in IxJ)(xij) = Sum(j in J)(sum(i in I)(xij))"
"V(sum(k = 1, n)(Xk)) = …","… = sum(k = 1, n)(V(Xk)) + 2 • sum(1=< i < j =< n)(Cov(Xi, Xj))"