(fn) converge en moyenne (en moyenne quadratique) ssi …,"… lim(n —> +infini)(integrale(a, b)(|fn - f|) = 0 (lim(n —> +infini)(sqrt(integrale(a, b)(|fn - f|^2)) = 0"
Caracterisation de la convergence uniforme pour une série de fonctions,sum(fn) CVU ssi sum(fn) CVS et (Rn) CVU vers 0
Comparaison de rayon de convergence de sum(an * z^n) et sum(bn * z^n),"- APCR |an| =< |bn| ==> Ra >= Rb
- an = O(bn) ==> Ra >= Rb
- |an| ~ |bn| ==> Ra = Rb"
Continuité d’une série entière,CVN-L donc continuité sur le disque de convergence
Définition convergence normale,sum(fn) CVN ssi pt n in N fn est bornée et sum(||fn||infini) CV
Définition convergence simple,"(fn) in (F(I, K))^N CVS vers f ssi pt x in I lim(n —> +infini)(fn(x)) = f(x)"
Définition convergence uniforme,"(fn) in (F(I, K))^N CVU vers f ssi :
pt e > 0, e n0 in N, pt n>=n0 pt x in I |fn(x) - f(x)| =< e

ssi ||fn - f||infini —> 0
"
Définition série alterné,sum(un) est alterné ssi ((-1)^n • un) est de signe constant
Formule de stirling,n! ~ (n/e)^n • sqrt(2 • pi • n)
Formule de Taylor a l’ordre n avec reste integral,"Soient n in N, I un intervalle de R, a, b in I et f in C^{n+1} :
f(b) = sum(k = 0, n)(f^(k)(a)/k! • (b - a)^k) + Rn
Avec Rn = int(a, b)((b - t)^n/n! • f^(n+1)(t)dt)"
Integration terme a terme sur un segment,"Soit (un) in C^0([a, b], K)^N.
Si sum(un) CVU sur [a, b] alors sum(int(un)) CV et :
int(sum(un)) = sum(int(un))"
Intervertion limite et dérivées successives d’une fonction (théorèmes de dérivation terme a terme pour une serie de fonction) ,"Soit (fn) in C^p(I, K)^N
- pt k in [|0, p-1|], (fn^(k)) CVS
- (fn^(p)) CVU-L
Alors la limite f de (fn) est de classe C^p et :
pt k in [|0, p|] pt x in I f^(k) = lim(n—>+infini)(fn^(k))(x)"
Lemme d’Abel,"(an) in K^N, r in K tq (an|r|^n) soit bornée:
pt z in Do(0, |r|), sum(an*r^n) CVA"
Produit de deux séries entières,"(sum(an•z^n) • sum(bn•z^n))
R >= min(Ra, Rb)"
Rayon de convergence de sum(n•an•z^n),Ra
Regle de d’Alembert pour les series entières,"Soit sum(an • z^n) une SE.
Si lim|an+1/an| = L :
- L in R^+* : R = 1/L
- L = 0 : R = + infini
- L = + infini : R = 0"
Règle de d’Alembert,"Pour (un) une suite qui APCR:
- est non nule
- |un+1/un| —> l

Si l < 1 alors sum(un) CVA
Si l > 1 alors sum(un) DVG"
Somme de deux série entière ,"sum(an•z^n) + sum(bn•z^n)
R >= min(Ra, Rb)
Si Ra ≠ Rb alors R = min(Ra, Rb)"
Théorème de la double limite,"Soit a une borne d’un intervalle I. Si sum(fn) CVU et pt n in N fn CV vers ln alors sum(ln) CV et:
- sum(n=0, +infini)(fn(x)) —>(x->a) sum(n = 0, +infini)(ln)"
Théorème spécial des séries alternées,"Toute série alterné dont le terme general décroît en valeur absolue et tend vers 0 est convergente.

Et pour Rn = sum(i = n+1, +infini)(un) :
- |Rn| =< |un+1|"
"Équivalent de sum(k = n, +infini)(1/k^a) pour a > 1",1/(a - 1)(n^{a-1})