1/(4pi•epsilon0) = …,… = 9 • 10^9 F^{-1} • m
Champ disruptif de l’air sec a pression atmosphérique (champ à partir duquel l’aire s’ionise),E ≈ 36 kV • cm^{-1}
Champ électrique a la surface de la terre,E ≈ 100 V • m^{-1}
Champ électrique créé en M par une charge q en A,vec(EA(M)) = q/(4pi • epsilon0) vec(uAM)/AM^2
Champ électrique dans un atome,E ≈ 10^11 V • m^{-1}
Equation de Maxwell-Faraday pour le champ électrostatique,"vec(rot)(vec(E)) = vec(0), vec(E) est à circulation concervative, vec(E) = -vec(grad)(V)"
Equation de Maxwell-Gauss,div(vec(E)) = rho/epsilon0
Equation de Maxwell-Gauss et théorème de Gauss pour le champ gravitationnelle,"div(vec(G)) = -4pi • G • mu

Phi = -4pi • G • Mint pour une surface fermée
"
Equation de Poisson et de Laplace pour le potentiel électrostatique,"- Poisson : Delta(V) + rho/epsilon0 = 0
- Laplace : Delta(V) = 0"
Permittivité diélectrique du vide,"epsilon0 ≈ 8,85 • 10^{-12} F • m^{-1}"
Potentiel électrostatique V,vec(E)(M) = - vec(grad)(V)(M)
Théorème de Gauss,"Phi = Qint/epsilon0 

pour le flux de E à travers une surface fermée"