Acide carboxylique,"Nom du groupe : carboxy
Préfixe si non prioritaire : carboxy
Nomenclature : Acide … oïque"
Alcools,"Nom du groupe : hydroxy
Préfixe si non prioritaire : hydroxy
Nomenclature : … ol"
Aldéhydes,"Nom du groupe : carbonyle
Préfixe si non prioritaire : oxo
Nomenclature : … al"
Amines,"Nom du groupe : amino
Préfixe si non prioritaire : amino
Nomenclature :
   • primaire : … amine
   • secondaire : N-alkyl … amine
   • N-alkyl N-alkyl … amine"
Cétone,"Nom du groupe : carbonyle
Préfixe si non prioritaire : oxo
Nomenclature : … one"
Dérivé halogéné,"Nom du groupe : halogéno
Préfixe si non prioritaire : halogéno
Nomenclature : fluoro … ou chloro … ou bromo … ou iodo …"
Esters,"Nom du groupe : ester
Préfixe si non prioritaire : R-oxycarbonyl
Nomenclature : … oate d’alkyle"
Ramifications,"Terminaison :
Sans double liaison : yl
Avec double liaison : ényl
Avec liaison triple : ynyl"
Éther ou éther-oxyde,"Nom du groupe : éther
Préfixe si non prioritaire : R-oxy
Nomenclature : alkoxy …"