DL d’ordre n de (1 + x)^a en 0,"1 + sum(k = 1, n)(a(a - 1)…(a - k + 1) • x^k / k!) + o(x^n)"
DL d’ordre n de 1/(1 + x) en 0,"sum(k = 0, n)((-1)^k • x^k) + o(x^n)"
DL d’ordre n de 1/(1 - x) en 0,"sum(k = 0, n)(x^k) + o(x^n)"
DL d’ordre n de cos/ch en 0,"cos
sum(k = 0, n)((-1)^k • x^{2k} / (2k)!) + o(x^{2n + 1})

ch
sum(k = 0, n)(x^{2k} / (2k)!) + o(x^{2n + 1})"
DL d’ordre n de exp en 0,"sum(k = 0, n)(x^k/k!) + o(x^n)"
DL d’ordre n de ln(1 + x)/ln(1 - x) en 0,"ln(1 + x)
sum(k = 1, n)((-1)^{k - 1} • x^k / k) + o(x^n)

ln(1 - x)
-sum(k = 1, n)(x^k / k) + o(x^n)"
DL d’ordre n de sin/sh en 0,"sin
sum(k = 0, n)((-1)^k • x^{2k + 1} / (2k + 1)!) o(x^{2n + 2}

sh
sum(k = 0, n)(x^{2k + 1} / (2k + 1)!) o(x^{2n + 2}"
DL d’ordre n de tan/Arctan en 0,"tan
x + 1/3 • x^3 + 2/15 • x^5 + o(x^6)

Arctan
sum(k = 0, n)((-1)^k • x^{2k + 1} / (2k + 1)) + o(x^{2n + 2})"
Définition d’une asymptote oblique,"Il existe (a, b) in R^2,
lim(x —> + infini)(f(x) - (a • x + b)) = 0"
Définition fonction négligeable et equivalente,"f négligeable devant g au voisinage de a ssi lim(a)(f/g) = 0

f équivalente a g au voisinage de a ssi lim(a)(f/g) = 1"
Equivalents usuels en 0 puissance,a in R* : (1 + x)^a - 1 ~ a • x
Equivalents usuels en 0 tan/arctan,"tan(x) ~ x

Arctan(x) ~ x"
f admet un développement limité a l’ordre n en a ssi …,"… ssi il existe (a0, …, an) in K^{n + 1},
f(x) =(x --> a) sum(k = 0, n)(ak • (x - a)^k) + o((x - a)^n)"
Formule de Taylor young,"f de classe C^n

f(x) =(x -> a) sum(k = 0, n)((f^(k)(a) / k!) • (x - a)^k) + o((x - a)^n)"